iter	Logloss
0	0.6673825196
1	0.6472393814
2	0.6278781933
3	0.6082983888
4	0.588614906
5	0.5742995962
6	0.5591317601
7	0.5421566551
8	0.5266174934
9	0.5146938884
10	0.5022090993
11	0.4934259396
12	0.4824004824
13	0.4701641754
14	0.4593566434
15	0.4505270136
16	0.4407904818
17	0.4342963517
18	0.4259296617
19	0.4198192682
20	0.4115771738
21	0.403099227
22	0.3967587294
23	0.3906384427
24	0.3868313774
25	0.3826248292
26	0.3762098398
27	0.3727587368
28	0.3683663986
29	0.363851943
30	0.3578237763
31	0.3518534605
32	0.3485402814
33	0.3442655831
34	0.3415490595
35	0.3379958184
36	0.3350240127
37	0.3320905338
38	0.3281018535
39	0.3255840903
40	0.3235587492
41	0.3208890454
42	0.3189641058
43	0.31510083
44	0.3113774344
45	0.3074132864
46	0.3050343108
47	0.3027413893
48	0.2995493524
49	0.2974132519
50	0.2942214741
51	0.291490679
52	0.2884556722
53	0.2858658752
54	0.2847971562
55	0.2834911697
56	0.282820846
57	0.2798660578
58	0.2781026008
59	0.2763875163
60	0.2751299509
61	0.2731441078
62	0.2711142125
63	0.2696278131
64	0.2679654872
65	0.266051651
66	0.2637684563
67	0.2625723608
68	0.2606642122
69	0.258336131
70	0.2572155566
71	0.256273936
72	0.2548558419
73	0.2530663606
74	0.2516321391
75	0.2501379163
76	0.2490275458
77	0.2473655943
78	0.2465531975
79	0.245605101
80	0.2443019107
81	0.2430681277
82	0.2415744439
83	0.2402179084
84	0.2392397554
85	0.2380564849
86	0.2366487252
87	0.235986309
88	0.2343898316
89	0.2331864217
90	0.2323120829
91	0.2308564127
92	0.2295417611
93	0.2276137752
94	0.2261347957
95	0.2252830363
96	0.2247355018
97	0.2230449674
98	0.2228860295
99	0.2216825006
100	0.2208381966
101	0.2200498245
102	0.2185181674
103	0.2177520075
104	0.2167267706
105	0.2160804848
106	0.2152830643
107	0.2145749458
108	0.2144778286
109	0.2135772564
110	0.2127792826
111	0.2113115947
112	0.2102758674
113	0.2094945954
114	0.2085886706
115	0.2072080965
116	0.2069019426
117	0.2058334865
118	0.2053721269
119	0.2051598348
120	0.2044765916
121	0.2039266233
122	0.2025871171
123	0.2017437143
124	0.2013139977
125	0.20045386
126	0.2000118971
127	0.1996351585
128	0.1992952905
129	0.1983428396
130	0.1978164843
131	0.1973838737
132	0.1966681912
133	0.1961445213
134	0.1955266912
135	0.1950619614
136	0.194056855
137	0.1935383333
138	0.1928181356
139	0.1927265711
140	0.192331879
141	0.1916239111
142	0.190392667
143	0.1897782858
144	0.1893793986
145	0.1880022363
146	0.1877576157
147	0.1872654016
148	0.1866993018
149	0.1860292929
150	0.1853431918
151	0.1848534115
152	0.1843928801
153	0.1839004204
154	0.1834740634
155	0.1824665262
156	0.1815607873
157	0.180707616
158	0.1803619693
159	0.1795857232
160	0.1795639543
161	0.1788657151
162	0.177644228
163	0.1774627827
164	0.1769887614
165	0.1765091234
166	0.1764360222
167	0.1756157985
168	0.1747175008
169	0.1739696337
170	0.1731982972
171	0.1726186368
172	0.1724976375
173	0.1723136151
174	0.1715921837
175	0.1708365616
176	0.1704048222
177	0.1699802968
178	0.1689444818
179	0.1682746833
180	0.1678704879
181	0.1670674367
182	0.1670202845
183	0.1666487479
184	0.1665011352
185	0.1659182298
186	0.165280101
187	0.164483046
188	0.1638366579
189	0.1635377403
190	0.162841671
191	0.1628124693
192	0.161481728
193	0.1611705575
194	0.160501173
195	0.1604575204
196	0.1600852809
197	0.1596520215
198	0.1588691127
199	0.1585316679
200	0.157536137
201	0.1568344393
202	0.1561114537
203	0.1557043378
204	0.1554418549
205	0.1548776312
206	0.1545778412
207	0.1539982814
208	0.153651062
209	0.1531285951
210	0.1522407521
211	0.1517117809
212	0.1516199097
213	0.1509624053
214	0.1504905585
215	0.1497327689
216	0.1492047727
217	0.1488093758
218	0.1486976887
219	0.1484316068
220	0.1480729036
221	0.1477893342
222	0.1468723164
223	0.1464635535
224	0.1460040213
225	0.145038684
226	0.1450192952
227	0.1445238569
228	0.1439547617
229	0.1434284794
230	0.1430060478
231	0.1425018739
232	0.1423953884
233	0.1416929647
234	0.1412191808
235	0.1410162395
236	0.1408453081
237	0.140816504
238	0.1402097194
239	0.139407
240	0.1387228657
241	0.1385346058
242	0.1384680619
243	0.1380929619
244	0.1369940625
245	0.1369669858
246	0.1367368462
247	0.136367737
248	0.1360693311
249	0.1356666976
250	0.1356335797
251	0.1349448506
252	0.134372809
253	0.1342444768
254	0.1336301623
255	0.1334341066
256	0.1332847334
257	0.1324958799
258	0.1324771191
259	0.1319417461
260	0.1319195681
261	0.1317866746
262	0.131422074
263	0.131386237
264	0.1308359936
265	0.1298170747
266	0.1296084774
267	0.1292500862
268	0.1288875272
269	0.128463025
270	0.1283764551
271	0.1282294795
272	0.127993899
273	0.1274171722
274	0.1272872408
275	0.1264299793
276	0.1264101195
277	0.12637141
278	0.1263450987
279	0.1257460557
280	0.1251539536
281	0.1251155913
282	0.1250762634
283	0.1250539047
284	0.1248425496
285	0.1246461543
286	0.124121464
287	0.1240355632
288	0.1238755686
289	0.1238408857
290	0.1237090092
291	0.123135023
292	0.1231011723
293	0.1230507463
294	0.1229932296
295	0.1229519944
296	0.1228792973
297	0.1225204468
298	0.1222535988
299	0.1221985922
